group	target	relative_path	reference_classes	reference_basis	canonical4_crosscheck	status	explained_deviation	conservative_extra_nonrefuting	source_chars	source_evidence	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	boxed_i64__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i64	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	331	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_i8__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_i8	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	251	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_i8	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			298	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_i8__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_i8	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	323	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_isize__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_isize	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	273	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_isize	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			318	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 3, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_isize__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_isize	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	345	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 6, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u128__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u128	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	298	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u128	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			331	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u128__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_u128	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	384	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u16__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u16	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	267	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u16	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			284	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u16__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_u16	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	338	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u32__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u32	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	264	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u32	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			289	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u32__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_u32	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	341	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u64__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u64	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	278	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u64	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			295	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u64__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_u64	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	359	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_u8__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_u8	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	253	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_u8	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			283	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 2, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 2, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_u8__uaf	a-code_full_rust/a-use_after_free_full_rust_literals/boxed_u8	UAF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk;DF:unk;UB_FFI:unk	319	"{""alloc_box"": 1, ""box_from_raw"": 1, ""box_into_raw"": 1, ""checked_arith_source"": 5, ""cstring_from_raw"": 0, ""drop_call"": 1, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 3, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	boxed_usize__df	a-code_full_rust/a-double_free_full_rust_literals/boxed_usize	DF	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT		ML:unk	285	"{""alloc_box"": 1, ""box_from_raw"": 2, ""box_into_raw"": 1, ""checked_arith_source"": 1, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 0, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 1, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	boxed_usize__ml	a-code_full_rust/a-memory_leaks_full_rust_literals/boxed_usize	ML	legacy_frozen92	PASS	RESULT_SOURCE_CONSISTENT			311	"{""alloc_box"": 1, ""box_from_raw"": 0, ""box_into_raw"": 1, ""checked_arith_source"": 1, ""cstring_from_raw"": 0, ""drop_call"": 0, ""forget"": 1, ""free"": 0, ""malloc"": 0, ""ptr_read"": 0, ""raw_deref"": 1, ""string_from_raw"": 0, ""vec_from_raw"": 0}"	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
